"prodcode","productname","drugsubstance","bnfcode","bnfchapter","type","label"
52098,"Simvastatin 40mg tablets (Ranbaxy (UK) Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
52168,"Atorvastatin 20mg tablets (Aspire Pharma Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
52211,"Atorvastatin 20mg tablets (Actavis UK Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
52257,"Simvastatin 20mg tablets (Accord Healthcare Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
52397,"Atorvastatin 40mg tablets (Dr Reddy's Laboratories (UK) Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
52398,"Atorvastatin 40mg tablets (A A H Pharmaceuticals Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
52459,"Atorvastatin 80mg tablets (Actavis UK Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
52460,"Atorvastatin 40mg tablets (Aspire Pharma Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
52625,"Simvastatin 10mg tablets (Wockhardt UK Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
52676,"Simvastatin 10mg/5ml oral suspension","Simvastatin","02120400","Statins",5,"simvastatin"
52755,"Pravastatin 20mg tablets (Alliance Healthcare (Distribution) Ltd)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
52812,"Simvastatin 20mg tablets (Sigma Pharmaceuticals Plc)","Simvastatin","02120400","Statins",5,"simvastatin"
52821,"Atorvastatin 80mg tablets (Dr Reddy's Laboratories (UK) Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
52953,"Simvastatin 20mg tablets (Bristol Laboratories Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
52962,"Simvastatin 80mg tablets (Medreich Plc)","Simvastatin","02120400","Statins",5,"simvastatin"
53087,"Simvastatin 20mg tablets (Somex Pharma)","Simvastatin","02120400","Statins",5,"simvastatin"
