prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
9386,13071,52064020,Nicardipine 45mg modified-release capsules,Nicardipine hydrochloride,45mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,February 2009
25055,0,!4904102,NIFEDIPINE,,,,,00000000,Unknown,February 2009
37726,174,92999020,Nifedipine 100mg/5ml oral suspension,Nifedipine,20mg/1ml,Oral suspension,Oral,02060200,Calcium-channel Blockers,February 2009
34247,16,49104020,Nifedipine 10mg Capsule (Berk Pharmaceuticals Ltd),Nifedipine,10mg,Capsule,Oral,02060200,Calcium-channel Blockers,February 2009
452,401911,65052020,Nifedipine 10mg capsules,Nifedipine,10mg,Capsule,Oral,02060200,Calcium-channel Blockers,February 2009
43511,4,49117020,Nifedipine 10mg capsules (A A H Pharmaceuticals Ltd),Nifedipine,10mg,Capsule,Oral,02060200,Calcium-channel Blockers,September 2010
43515,11,57071020,Nifedipine 10mg capsules (Actavis UK Ltd),Nifedipine,10mg,Capsule,Oral,02060200,Calcium-channel Blockers,September 2010
46445,56,54159020,Nifedipine 10mg capsules (IVAX Pharmaceuticals UK Ltd),Nifedipine,10mg,Capsule,Oral,02060200,Calcium-channel Blockers,November 2011
63041,1,59921020,Nifedipine 10mg capsules (Mylan),Nifedipine,10mg,Capsule,Oral,02060200,Calcium-channel Blockers,April 2015
55455,0,01943020,Nifedipine 10mg capsules (Strides Shasun (UK) Ltd),Nifedipine,10mg,Capsule,Oral,02060200,Calcium-channel Blockers,June 2013
42912,6,54546020,Nifedipine 10mg capsules (Teva UK Ltd),Nifedipine,10mg,Capsule,Oral,02060200,Calcium-channel Blockers,July 2010
2605,206513,73828020,Nifedipine 10mg modified-release capsules,Nifedipine,10mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,February 2009
34187,36,59923020,Nifedipine 10mg Modified-release tablet (Generics (UK) Ltd),Nifedipine,10mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
47027,91,63403020,Nifedipine 10mg Modified-release tablet (Kent Pharmaceuticals Ltd),Nifedipine,10mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,March 2012
410,791453,68508020,Nifedipine 10mg modified-release tablets,Nifedipine,10mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
