prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
59982,0,01012020,Atenolol 25mg tablets (Accord Healthcare Ltd),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,May 2014
44858,54,56835020,Atenolol 25mg tablets (Actavis UK Ltd),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,March 2011
50702,0,00998020,Atenolol 25mg tablets (Alliance Healthcare (Distribution) Ltd),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,January 2013
47870,3,70250020,Atenolol 25mg tablets (Almus Pharmaceuticals Ltd),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,October 2012
53826,0,01006020,Atenolol 25mg tablets (Boston Healthcare Ltd),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2013
49953,10,01009020,Atenolol 25mg tablets (Bristol Laboratories Ltd),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,January 2013
52310,0,39793020,Atenolol 25mg tablets (Crescent Pharma Ltd),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,January 2013
70135,0,16662021,Atenolol 25mg tablets (DE Pharmaceuticals),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,September 2017
19172,4267,57790020,Atenolol 25mg tablets (IVAX Pharmaceuticals UK Ltd),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
31536,71,56093020,Atenolol 25mg tablets (Kent Pharmaceuticals Ltd),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
34492,182,60231020,Atenolol 25mg tablets (Mylan),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
34585,339,51440020,Atenolol 25mg tablets (Sandoz Ltd),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
53802,0,01007020,Atenolol 25mg tablets (Sigma Pharmaceuticals Plc),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2013
51998,0,01011020,Atenolol 25mg tablets (Strides Shasun (UK) Ltd),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,January 2013
29368,597,53709020,Atenolol 25mg tablets (Teva UK Ltd),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
34976,29,59302020,Atenolol 25mg tablets (Tillomed Laboratories Ltd),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
62325,0,47104020,Atenolol 25mg tablets (Waymade Healthcare Plc),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2015
34575,358,52915020,Atenolol 25mg tablets (Wockhardt UK Ltd),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
54542,0,01008020,Atenolol 25mg tablets (Zanza Laboratories Ltd),Atenolol,25mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,April 2013
